epoch,chain,poolId,rewardToken,rewardPerDay
15,Arbitrum,0x9f28B1eACf17F64cD952DeAA14f0487b9F74bbb6,0x43aB8f7d2A8Dd4102cCEA6b438F6d747b1B9F034,401.572512
15,Arbitrum,0x3BE852FF9F142783c71435524D63E2196E5f305A,0x43aB8f7d2A8Dd4102cCEA6b438F6d747b1B9F034,353.2896
15,Arbitrum,0x2E14E24Ec3efBD3b8c8976405351f8233d59650e,0x43aB8f7d2A8Dd4102cCEA6b438F6d747b1B9F034,353.2896
15,Arbitrum,0x830203B9a16920Feb55D58d964Ce83E1BA000269,0x43aB8f7d2A8Dd4102cCEA6b438F6d747b1B9F034,209.0017212
15,Arbitrum,0x69f1216cB2905bf0852f74624D5Fa7b5FC4dA710,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,1428.571429
15,Arbitrum,0xd387c40a72703B38A5181573724bcaF2Ce6038a5,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,1428.571429
15,Arbitrum,0x500173F418137090dad96421811147b63b448A0f,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,178.5714286
15,Arbitrum,0xB87495219C432fc85161e4283DfF131692A528BD,0xcAFcD85D8ca7Ad1e1C6F82F651fA15E33AEfD07b,1607.142857
15,Arbitrum,0xB87495219C432fc85161e4283DfF131692A528BD,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,357.1428571
15,Arbitrum,0x4b9bfed1dd4e6780454b2b02213788f31ffba74a,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,714.2857143
15,Arbitrum,0x0242DD3b2e792CdBD399cc6195951bC202Aee97B,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,178.5714286
15,Arbitrum,0xDe568Fd89B3349A766f45D5aB2A7c0510F476a80,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,178.5714286
15,Arbitrum,0x0Be4aC7dA6cd4bAD60d96FbC6d091e1098aFA358,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,357.1428571
15,Arbitrum,0x0f475257B6e2fA9a48eF84CB4a91d4288729F39e,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,178.5714286
15,Arbitrum,0x60563686ca7b668e4a2d7D31448e5F10456ecaF8,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,178.5714286
15,Arbitrum,0x987cdD61b093Fb740E7eB04183eE2D29Da014aF9,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,178.5714286
15,Arbitrum,0x6BB53cDAEAA76CC14878b2f474e0BE71B0A95509,0xA23e44aEa714fbBc08ef28340D78067B9A8Cad73,285.7142857
15,Arbitrum,0x6BB53cDAEAA76CC14878b2f474e0BE71B0A95509,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,285.7142857
15,Arbitrum,0x5A4eF05343245CF6E5011c48459e68AAb0A7B95E,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,142.8571429
15,Arbitrum,0x5A4eF05343245CF6E5011c48459e68AAb0A7B95E,0xaf88d065e77c8cc2239327c5edb3a432268e5831,35.71428571
15,Arbitrum,0xf83Ede541B25F5743A230f85E60266e80cdf1e9a,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,357.1428571
15,Arbitrum,0xf83Ede541B25F5743A230f85E60266e80cdf1e9a,0x894134a25a5faC1c2C26F1d8fBf05111a3CB9487,107.1428571
15,Arbitrum,0x7C5c54ecbF3BF9A928890ee675f8591f2CF52E09,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,178.5714286
15,Avax,0x9f8973FB86b35C307324eC31fd81Cf565E2F4a63,0xcAFcD85D8ca7Ad1e1C6F82F651fA15E33AEfD07b,357.1428571
15,Avax,0xe6C7E4142b0cB24F2bFa7b9a50911375f8EE8DB9,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,30
14,Arbitrum,0x9f28B1eACf17F64cD952DeAA14f0487b9F74bbb6,0x43aB8f7d2A8Dd4102cCEA6b438F6d747b1B9F034,401.572512
14,Arbitrum,0x3BE852FF9F142783c71435524D63E2196E5f305A,0x43aB8f7d2A8Dd4102cCEA6b438F6d747b1B9F034,353.2896
14,Arbitrum,0x2E14E24Ec3efBD3b8c8976405351f8233d59650e,0x43aB8f7d2A8Dd4102cCEA6b438F6d747b1B9F034,353.2896
14,Arbitrum,0x830203B9a16920Feb55D58d964Ce83E1BA000269,0x43aB8f7d2A8Dd4102cCEA6b438F6d747b1B9F034,209.0017212
14,Arbitrum,0x69f1216cB2905bf0852f74624D5Fa7b5FC4dA710,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,1428.571429
14,Arbitrum,0xd387c40a72703B38A5181573724bcaF2Ce6038a5,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,1428.571429
14,Arbitrum,0x500173F418137090dad96421811147b63b448A0f,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,178.5714286
14,Arbitrum,0xB87495219C432fc85161e4283DfF131692A528BD,0xcAFcD85D8ca7Ad1e1C6F82F651fA15E33AEfD07b,1607.142857
14,Arbitrum,0xB87495219C432fc85161e4283DfF131692A528BD,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,357.1428571
14,Arbitrum,0x4b9bfed1dd4e6780454b2b02213788f31ffba74a,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,714.2857143
14,Arbitrum,0x0242DD3b2e792CdBD399cc6195951bC202Aee97B,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,178.5714286
14,Arbitrum,0xDe568Fd89B3349A766f45D5aB2A7c0510F476a80,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,178.5714286
14,Arbitrum,0x0Be4aC7dA6cd4bAD60d96FbC6d091e1098aFA358,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,357.1428571
14,Arbitrum,0x5A4eF05343245CF6E5011c48459e68AAb0A7B95E,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,142.8571429
14,Arbitrum,0x5A4eF05343245CF6E5011c48459e68AAb0A7B95E,0xaf88d065e77c8cc2239327c5edb3a432268e5831,35.71428571
14,Avax,0x9f8973FB86b35C307324eC31fd81Cf565E2F4a63,0xcAFcD85D8ca7Ad1e1C6F82F651fA15E33AEfD07b,357.1428571